year,commentid,form_letter,org_type,comment,stance_1_cat3
2017,FNS-2017-0021-0510,nan,Advocacy,There is nothing more important than EDUCATION. NOTHING! In the United States PUBLIC education is intended to serve EVERYONE. Healthy food is essential for children to learn efficiently.  Decreasing support for nutritious food in our schools is not acceptable. I strongly oppose any efforts to decrease funding and support for school lunch programs. America's children need all the support they can get. Making America great must include our children.    ,In favor of original HHFKA
2017,FNS-2017-0021-0550,nan,Constituent,"Why would anyone object to healthy meals for school children.  We have a child obesity problem currently, which could get worse.  If children eat healthy when young, many times they continue with this practice into adulthood.  Make your decision based on children's best interest, not for politics please.",In favor of original HHFKA
2017,FNS-2017-0021-0617,nan,Academic researchers,"Having tracked the significant progress made in recent years in the healthfulness of food and beverage offerings in the nation's schools, I would hate to see things moving back in an unhealthy direction again. In the Youth, Education, and Society study, sponsored by the Robert Wood Johnson Foundation,we made national assessments of these factors in the nation's middle schools and high schools for some years.  
The website for the study is www.yesresearch.org. 
The most recent monograph documenting improvements in school meal and beverage offerings is at: 
http://www.yesresearch.org/publications/monographs/schoolpoliciesvol_4_2014.pdf 
I am hopeful that some of the relaxation of food and beverage standards now under consideration for the nation's schools will not occur.
Respectfully,
Lloyd Johnston, PhD,MBA
Angus Campbell Collegiate Research Professor
University Distinguished Senior Research Scientist
Institute for Social Research
The University of Michigan
Ann Arbor MI 48103
",In favor of original HHFKA
2017,FNS-2017-0021-0634,nan,Constituent,Our children need healthy meals. Most leave home without breakfast. They depend on at least one if not 2 healthy meals a day. Don't short change the present or the future.,In favor of original HHFKA
2017,FNS-2017-0021-0641,nan,Advocacy," I urge the USDA to maintain strong nutrition standards for meals served in schools. Providing ""flexibility"" by allowing schools to serve grains that are not whole-grain-rich and flavored milk with 1% fat would constitute a direct contradiction of the current dietary guidelines and result in a step back on the progress already made in promoting a healthier lifestyle, a healthy weight, and overall health equity. ",In favor of original HHFKA
2017,FNS-2017-0021-0661,nan,Academic researchers,"Good nutrition is crucial to getting an education, even more so than having parental support  or getting a good night's sleep.   If what Joseph Conrad called ""the gnawing devils of hunger"" afflict children, their ability to focus and function will be virtually nonexistent.  The amount of money required to ensure that all children are properly nourished is minimal compared to the amount required to solve the social problems caused by having an undeducated electorate.",In favor of original HHFKA
2017,FNS-2017-0021-0707,nan,Other government agency - (non school),"Please do not allow this to happen! Many of our children in Rural Oregon Communities are only guaranteed the meals that they get from school. Supper can be ""iffy"" and much of the diet is already rife with salt and chemicals- thanks in no small part to the recent ""recalculations"" of the SNAP program. Families did not suffer a ""cut"" but the ""recalculation"" significantly reduced the families'monthly food budget. To pass these rulings, is another attack on our safety net and our Children living in poverty, of which is included the ""working poor"", aka ""the middle class"".",In favor of original HHFKA
2017,FNS-2017-0021-0733,nan,Constituent,"For the health of all children, I urge the USDA to maintain strong nutrition standards for meals served in schools. Providing flexibility by allowing schools to serve grains that are not whole-grain-rich and flavored milk with 1% fat would constitute a direct contradiction of the current dietary guidelines and result in a step back on the progress already made in promoting a healthier lifestyle, a healthy weight, and overall health equity. For many kids, school is their only chance to get a well-balanced meal. Thats why I urge you now to keep the bar high when it comes to serving nutritious food in schools across America and not reduce the nutritional quality of school food. ",In favor of original HHFKA
2017,FNS-2017-0021-1113,nan,Constituent,"By changing and providing much less healthy foods to eat at school, we sentence our children to a lifetime of health issues and disease. Why would you/we do that to our most precious resource?",In favor of original HHFKA
2017,FNS-2017-0021-1125,nan,Academic researchers,"Standards for child nutrition should remain high especially in regards to added sugars, sodium and whole grains. I provide TA to several food service directors - each of whom have made great strides in their efforts to meet the rigorous standards and create meals that students will eat.
Studies show it takes young children 10-20 times of trying a new food before they accept it. For low-income families, they do not have discretionary money to expose their children to unfamiliar (but healthier) foods and have them rejected more than a few times. Because of this, vulnerable families stick to familiar foods and do not have the luxury of trying out whole grain options or unsweetened milk. Schools can provide a safe space for youth to try new foods without risking the family budget. We have had parents tell us that their child is asking for less salty food at home now because they have gotten accustomed to the low-sodium meals at school. 
Now is not the time to roll back standards and make school meals less healthy. Good food is good for the economy and the nations health.",In favor of original HHFKA
2017,FNS-2017-0021-1267,nan,Advocacy,"As a school nurse, I am very disappointed in ""rolling back"" on the hard won positive changes to the Child Nutrition Requirements which demonstrates poor leadership for this agency.
With the high number of students that are overweight or obese, and the well documented long term health consequences, it is imperative to provide students with the most nutritious meals possible.  Increasing fat content of milk, more sodium, and less whole grains is a step back.
I will be asking our school district to continue to support the current regulations to support student health.
Sincerely, 
Janis Hogan RN
Nationally Certified School Nurse
Maine Director, National Association of School Nurses
Camden Hills Regional High School 
25 Keelson Dr.
Rockport, Me  04856",In favor of original HHFKA
2017,FNS-2017-0021-1276,nan,School,"I'm an Elementary kitchen manager. I think this rule is crazy at this point. We have the students use to the fat free varies now why change? Why not work on getting more commodities and bringing back more home cooked school lunches? Let all students receive free lunches. Put our tax dollars to real use instead of rebuilding other countries? Besides whoever is reading this do you put salt on your fries? For heavens sake we only go around on this earth one time cut down on the requirements. And another thing the red, orange, green thingy is crazy. 
Thank you, Mary Brewington
          765 465 0208",In favor of original HHFKA
