year,commentid,form_letter,org_type,comment,stance_1_cat3
2017,FNS-2017-0021-1186,nan,School,"For us small school corporations, there are not people to manage all the nutritional requirements that larger schools have.  They have multiple directors, dieticians, etc. as well as software to run nutritionals.  In small schools it's all we can do to just get meals served, and try to follow the nutrition regulations.  
The whole grain exemption is great and should continue.  I try to do WG, but for some pasta I do white pasta (rotini, kluski noodles).  The student acceptance and appearance are greatly improved.  I am thinking of returning to white bread for grilled cheese sandwiches. So keeping the requirement with waiver is great!
Milk.  I am not changing from skim chocolate to 1% chocolate.  This is solely due to cost.  While a penny more for 1% seems little, over an entire school year it is thousands of dollars, not a couple hundred.  The milk vendors want to produce one or the other for schools.  Our current one wants to keep with skim chocolate and strawberry milks.  
Sodium.  Again, difficult to have time to monitor.  It's best to keep the level-target, 
where it is now.  Manufacturers have made products better, but everything being reformulated to hit a lower target, makes more reporting, printing, recordkeeping.
",In favor of flexibilies
2017,FNS-2017-0021-1189,nan,School,"1. Our school does not have issues with serving fat free flavored milk so we do not need the exemption and will not offer 1% flavored milk
2. Many grains baked with the whole wheat requirement are bitter tasting and we are throwing away a lot of grains. Please continue the exemptions and do not impose the 100%whole grain rule.
3. The sodium levels must NEVER be lowered. Students constantly complain about food having no flavor. The number of trays served each year continues to decrease and the number of students bringing their lunch increases. Students who bring their lunches often have foods that are not as healthy as those served in the cafeteria but they don't care because at least their food has flavor. Please, please never decrease the sodium level and if possible, increase the allowed amount of sodium.
4. Please get rid of the requirement to serve vegetables from the different groups. Kids are getting very tired of the same veggies and we are throwing away a lot of vegetables.",In favor of flexibilies
2017,FNS-2017-0021-1191,nan,School,"I am pleased that the regulation has been altered to allow 1%low fat flavored milk to be offered to students. Offering skim milk flavored milk has drastically reduced the amount of milk our students drink. This is of concern since calcium is one of the nutrients children are routinely have a low intake.
Speaking of this, I do not agree with the decision that high school and middle school students are limited to 12 oz of milk. We are unable to purchase milk in 12 oz containers and one our best sellers were 16oz milk container. This is equivalent to 2 glasses of milk which is a significant amount of calcium for the student but the regulation does not allow this. The regulation does not stop a student from purchasing two separate cartons of milk...what is the difference. This is a regulation that needs eliminated. ",In favor of flexibilies
2017,FNS-2017-0021-1236,nan,School,"As a food service director the biggest challenge i have is planning menus with the restrictions on sodium and calories.
I know i can add more protein and grains but does not help with the calories so i am still limited.
I have gone to fresh vegetables trying to keep the sodium levels down plus it is healthier but when a fresh egg has 62 grams of sodium in it, it becomes an uphill battle of finding ways to get the sodium levels where they need to be.
The manufactures of our foods are doing there best at providing us with low sodium products but trying to keep up with the changes often times short us of our food. I can't image what it will be like if the target 2 and 3 goes into effect.
I also believe that some of the foods should go by regional areas. 
Western, Central, Eastern and Southern regions don't eat all the same and I think when menu planning begins for the meals that should be taken into account.
Please lift the restrictions so we can feed the students the foods they will like and remember so when they become older they will have memories to talk about what their favorite school lunch was and not what the food they refused to eat because of the restrictions.",In favor of flexibilies
2017,FNS-2017-0021-1271,nan,School,It would make it much easier to be able to make meals from scratch plus the kids would like the opportunity to have the choice of milk options in all our schools.,In favor of flexibilies
2017,FNS-2017-0021-1272,nan,School,"Milk- Our district has no difficulties obtaining skim flavored milk. The skim flavored sells 6-7 times more than plain skim and 1% combined. I believe it is important to allow flavored milk but rather skim or 1% does not matter to our district. 
Whole Grains- Allowing districts to serve non whole grain items is huge for the NSLP. If the goal of the program is to encourage healthy balanced eating- like the ""myplate model"" and the Dietary Guidelines for Americans- then the NSLP should have the same expectations. DGA state to consume half whole grains, thus NSLP should do the same. Kids do need more whole grains, and I do believe it is important for them to consume but some food items just are not as appealing or well accepted. Obviously, this changes by region, but I believe districts should have this option. We currently serve white rice and a few non-whole grain pasta dishes because it is just more appealing to the students. However, breading on items, pizza, buns, tortillas, chips, bread we use whole grain for and the kids don't seem to mind. Schools can offer and serve great and healthy food but if students aren't consuming that at home, it's hard to get them to consume it at school. That is why pasta and rice are not well accepted in our district. 
Sodium Target- Thank goodness the next target was delayed. We've changed products, reduced sauces, reduced condiments, don't cook with or serve salt... but we still are barley hitting the accepted sodium level. Food needs taste in order for kids to eat it. So the debate- salt and eat it or no salt and trash it leading to hunger and disrupted classrooms. Until kitchens can move back to scratch cooking, the sodium level isn't realistic. Obviously, cooking from scratch yields healthier food. I think most districts love the idea of moving back to scratch cooking. It provides more wholesome food, food cost is less, it provides opportunities for more full time employment, and allows for more menu flexibility. However, it's going to take a decade or more to move back that direction. We've been doing heat/serve operations for so long now, kitchens and staff are not equipped for scratch cooking. There's a lot of money and training that need to go into it before we'll see that change. And is this the change the public wants? They are our customers right. As a parent, I'd rather a home cooked meal for my child but that doesn't always mean food they'll consume. Kids want chicken nuggets and pizza all day everyday- and that's not scratch cooking. We have to reintroduce them to that style of food. Again, this is regional and some kids in different regions are more adventurous than others. 
I know this comment period is not about smart snacks but I can't not mention how crazy backward they are. It's insane that we can scratch cook amazing tasty vegetables and bread dishes (homemade roll) but then can't sell the extras or have to tell students you can't have two because its not a ""smart snack"". It's crazy we can't sell excessive condiments to prevent students from over taking. By not selling them kids take more because we basically can't say no- this increases the total sodium on our weekly menus. So its hurting us both ways. Its crazy ice-cream is an acceptable snack but a bread stick is not. I agree we shouldn't be selling candy and crap but there's so many holes in the rule its crazy. I think the lobbyist had too much say, its too complicated, and it has drastically reduced income we desperately need to pay staff what they deserve. 
I'd like to add that I'm a Registered Dietitian and SNS certified. I believe in the NSLP. I think there's a bit too many regulations to make great menus. I think the regulations are confusing to staff and the public. We as directors then have to pick up the pieces. ",In favor of flexibilies
2017,FNS-2017-0021-1273,nan,School,"I am in agreement with the flexibilities for flavored milk, whole grains, and sodium requirements.  While I agree that we need to watch our sugar intake, make use of whole grain products, and watch sodium levels children shouldn't follow the same guidelines used for adults.  Children should be taught moderation and use of flavors through use of herbs and seasonings in place of sodium.  Sodium isn't something bad but instead enhances the flavor of foods (much like cheerleaders during a sports activity).",In favor of flexibilies
2017,FNS-2017-0021-1274,nan,School,"I am in favor of the the flexibilities for milk, whole grains and sodium requirements outlined in the final rule for the National School Lunch Program.",In favor of flexibilies
2017,FNS-2017-0021-1275,nan,Manufacturer/food industry,"I think that the restrictions on sodium was to strict, so I am glad they are relaxing the restrictions.  Our Cafeteria enjoys making healthier choices for our students and we have been serving a lot of fresh fruit and vegetables for reimbursable lunches and breakfasts.  What has really hurt our Cafeteria is the strict smarter snacks!  I am food director at a School corporation that has the 7th and 8th grade in the High School so I have to pull ""Gatorade"" so they can not purchase those items.  I also personally think the higher cost and bland taste of the whole grain items has really hurt our sales.  The products that are whole grain pasta and snacks are not appealing to adults so how can it be appealing to students.  
Bottom line:  Yes our children are not as fit as we were when we grew up, but they don't exercise and get outside like we did.  They play on their phones, computers and play video games.  They don't ride bikes, climb trees, go for walks, and just be entertained with the great outdoors like we did.... their entertainment is electronic's! ",In favor of flexibilies
2017,FNS-2017-0021-1278,nan,School,"Would like to see the grain exemptions, lofat flavored milk and the current sodium levels to stay how they are this school year. At this point the students have accepted the sodium changes but another change would result in students packing their lunch more than they are now. We currently use all whole grain products except for noodles. There is not a product on the market that is whole grain to replace with.With the exemption we can serve the students their favorites without compromising taste and texture",In favor of flexibilies
